Num,Rail 1,Rail 2
1025,12.75,
1026,12.75,
1027,12.78,
1028,12.75,
1029,12.75,
1030,12.78,
1031,12.78,
1032,12.75,
1033,12.75,
1034,12.78,
1035,12.78,
1036,12.78,
1037,12.75,
1038,12.75,
1039,12.75,
1040,12.73,
1041,12.73,
1042,12.75,
1043,12.75,
1044,12.73,
1045,12.73,
1046,12.75,
1047,12.75,
1048,12.73,
1049,12.73,
1050,12.75,
1051,12.75,
1052,12.75,
1053,12.75,
1054,12.75,
1055,12.75,
1056,12.73,
1057,12.73,
1058,12.73,
1059,12.75,
1060,12.73,
1061,12.73,
1062,12.73,
1063,12.73,
1064,12.73,
1065,12.73,
1066,12.75,
1067,12.75,
1068,12.7,
1069,12.7,
1070,12.73,
1071,12.7,
1072,12.7,
1073,12.7,
1074,12.73,
1075,12.73,
1076,12.73,
1077,12.73,
1078,12.75,
1079,12.73,
1080,12.73,
1081,12.73,
1082,12.73,
1083,12.73,
1084,12.73,
1085,12.73,
1086,12.75,
1087,12.7,
1088,12.67,
1089,12.67,
1090,12.7,
1091,12.67,
1092,12.67,
1093,12.7,
1094,12.7,
1095,12.7,
1096,12.7,
1097,12.7,
1098,12.7,
1099,12.7,
1100,12.67,
1101,12.67,
1102,12.67,
1103,12.67,
1104,12.67,
1105,12.7,
1106,12.7,
1107,12.67,
1108,12.67,
1109,12.67,
1110,12.7,
1111,12.7,
1112,12.7,
1113,12.73,
1114,12.73,
1115,12.7,
1116,12.7,
1117,12.7,
1118,12.7,
1119,12.7,
1120,12.7,
1121,12.73,
1122,12.7,
1123,12.7,
1124,12.67,
1125,12.67,
1126,12.67,
1127,12.64,
1128,12.67,
1129,12.67,
1130,12.67,
1131,12.67,
1132,12.67,
1133,12.67,
1134,12.67,
1135,12.67,
1136,12.67,
1137,12.67,
1138,12.7,
1139,12.67,
1140,12.67,
1141,12.7,
1142,12.67,
1143,12.64,
1144,12.67,
1145,12.67,
1146,12.64,
1147,12.61,
1148,12.64,
1149,12.67,
1150,12.64,
1151,12.64,
1152,12.64,
1153,12.64,
1154,12.64,
1155,12.64,
1156,12.64,
1157,12.64,
1158,12.64,
1159,12.64,
1160,12.64,
1161,12.67,
1162,12.64,
1163,12.61,
1164,12.61,
1165,12.64,
1166,12.64,
1167,12.64,
1168,12.64,
1169,12.67,
1170,12.64,
1171,12.64,
1172,12.64,
1173,12.64,
1174,12.64,
1175,12.61,
1176,12.64,
1177,12.64,
1178,12.64,
1179,12.61,
1180,12.61,
1181,12.61,
1182,12.61,
1183,12.64,
1184,12.64,
1185,12.64,
1186,12.61,
1187,12.64,
1188,12.64,
1189,12.64,
1190,12.64,
1191,12.61,
1192,12.64,
1193,12.67,
1194,12.61,
1195,12.61,
1196,12.61,
1197,12.64,
1198,12.61,
1199,12.61,
1200,12.61,
1201,12.61,
1202,12.61,
1203,12.61,
1204,12.61,
1205,12.61,
1206,12.61,
1207,12.58,
1208,12.61,
1209,12.64,
1210,12.61,
1211,12.64,
1212,12.64,
1213,12.64,
1214,12.61,
1215,12.61,
1216,12.64,
1217,12.61,
1218,12.61,
1219,12.61,
1220,12.61,
1221,12.61,
1222,12.58,
1223,12.58,
1224,12.61,
1225,12.61,
1226,12.58,
1227,12.61,
1228,12.61,
1229,12.61,
1230,12.58,
1231,12.58,
1232,12.61,
1233,12.58,
1234,12.53,
1235,12.55,
1236,12.58,
1237,12.58,
1238,12.55,
1239,12.55,
1240,12.58,
1241,12.58,
1242,12.55,
1243,12.55,
1244,12.58,
1245,12.55,
1246,12.55,
1247,12.55,
1248,12.58,
1249,12.58,
1250,12.53,
1251,12.55,
1252,12.55,
1253,12.55,
1254,12.53,
1255,12.55,
1256,12.58,
1257,12.55,
1258,12.53,
1259,12.55,
1260,12.58,
1261,12.5,
1262,12.47,
1263,12.5,
1264,12.53,
1265,12.53,
1266,12.53,
1267,12.53,
1268,12.53,
1269,12.53,
1270,12.5,
1271,12.5,
1272,12.5,
1273,12.5,
1274,12.5,
1275,12.5,
1276,12.53,
1277,12.47,
1278,12.47,
1279,12.47,
1280,12.5,
1281,12.47,
1282,12.47,
1283,12.5,
1284,12.5,
1285,12.5,
1286,12.5,
1287,12.5,
1288,12.53,
1289,12.5,
1290,12.47,
1291,12.5,
1292,12.47,
1293,12.47,
1294,12.5,
1295,12.53,
1296,12.5,
1297,12.47,
1298,12.47,
1299,12.5,
1300,12.5,
1301,12.47,
1302,12.47,
1303,12.44,
1304,12.44,
1305,12.44,
1306,12.44,
1307,12.47,
1308,12.47,
